m = 3
(247.910000, 0.607026)
(248.730000, 0.633877)
(250.620000, 0.320237)
(250.330000, 0.386013)
(250.920000, 0.330879)
(248.060000, 0.600180)
(250.010000, 0.507760)
(252.710000, 0.607185)
(250.870000, 1.310246)
(252.580000, 0.607175)
(253.480000, 0.606986)
(253.310000, 0.607103)
(252.710000, 2.056196)
(251.980000, 0.607201)
(253.550000, 0.607026)
(255.300000, 0.606545)
(256.650000, 0.440229)
(256.080000, 0.563017)
(257.940000, 1.336885)
(257.920000, 2.872265)
(258.020000, 0.590654)
(255.690000, 0.908346)
(257.220000, 0.607161)
(257.250000, 0.604595)
(257.260000, 0.564688)
(256.440000, 0.223319)
(258.360000, 0.406890)
(260.600000, 0.861458)
m = 11
(253.580000, 0.606989)
(250.060000, 0.547545)
(248.130000, 0.668123)
(249.230000, 0.611776)
(247.180000, 0.332034)
(247.650000, 0.607216)
(249.300000, 1.034070)
(253.190000, 0.234587)
(253.350000, 0.987624)
(251.580000, 0.607068)
(253.550000, 0.255447)
(252.230000, 1.023300)
(251.440000, 0.607138)
(253.230000, 0.605605)
(254.710000, 0.007397)
(254.400000, 0.074391)
(253.210000, 0.606669)
(255.120000, 0.605700)
(253.250000, 0.607194)
(256.570000, 0.607087)
(256.200000, 0.606905)
(256.570000, 0.605420)
(255.000000, 0.607219)
(257.770000, 0.606963)
(258.360000, 0.175647)
(258.570000, 0.595709)
(259.770000, 0.607093)
(258.900000, 0.458897)
(258.680000, 0.607193)
(257.530000, 0.142993)
m = 12
(264.210000, 0.193721)
(243.700000, 0.607181)
(247.180000, 0.606591)
(244.710000, 0.606768)
(248.680000, 0.603321)
(246.720000, 0.604630)
(247.860000, 0.598020)
(249.140000, 0.606887)
(248.430000, 0.607052)
(248.890000, 0.459984)
(251.550000, 0.603803)
(250.010000, 0.235235)
(250.410000, 0.607155)
(249.550000, 0.265781)
(249.860000, 0.606484)
(252.090000, 0.606235)
(254.130000, 0.323001)
(251.780000, 0.606219)
(252.600000, 2.584418)
(252.380000, 0.131726)
(252.580000, 0.607199)
(254.600000, 1.966111)
(255.110000, 1.122698)
(254.270000, 0.106773)
(257.570000, 0.446608)
(258.360000, 1.030788)
(257.330000, 1.868732)
(257.780000, 0.830046)
(258.890000, 0.273616)
(258.410000, 0.606899)
