m = 3
(1.630000, 0.614401)
(1.700000, 0.303401)
(1.730000, 0.619401)
(1.650000, 0.550401)
(1.430000, 0.568599)
(1.610000, 0.105599)
(1.640000, 0.624401)
(1.670000, 0.191599)
(1.720000, 0.623401)
(1.960000, 0.625401)
(1.650000, 0.661599)
(1.540000, 0.136401)
(1.640000, 0.145401)
(1.990000, 0.625401)
(1.850000, 0.625401)
(1.650000, 0.101599)
(1.520000, 0.991599)
(1.740000, 0.418401)
(1.540000, 0.929599)
(1.570000, 0.849599)
(1.550000, 0.980599)
(1.470000, 2.424599)
(1.760000, 0.150401)
(1.790000, 0.445401)
(1.610000, 0.098599)
(1.920000, 0.625401)
(1.500000, 2.180599)
(1.730000, 0.572401)
(1.570000, 0.590401)
(1.610000, 1.121599)
m = 4
(13.530000, 0.625301)
(12.380000, 0.616801)
(13.450000, 0.625401)
(12.200000, 0.616901)
(11.700000, 0.144201)
(11.420000, 0.746899)
(12.870000, 0.625401)
(11.190000, 0.373499)
(11.980000, 0.625001)
(11.080000, 1.231699)
(11.930000, 0.757299)
(11.100000, 0.360299)
(10.640000, 0.066101)
(10.660000, 1.995899)
(12.600000, 0.625101)
(12.480000, 0.571701)
(12.050000, 0.365799)
(11.270000, 0.930999)
(10.490000, 0.936799)
(13.280000, 0.625201)
(11.630000, 0.600001)
(11.450000, 0.853299)
(12.970000, 0.512401)
(10.800000, 2.381999)
(12.370000, 0.177799)
(13.020000, 0.625301)
(14.050000, 0.625401)
(12.250000, 0.210201)
(11.550000, 0.041799)
(9.710000, 2.820999)
m = 5
(68.170000, 0.227919)
(66.140000, 0.151629)
(63.820000, 1.025439)
(67.850000, 0.616801)
(68.840000, 0.003519)
(74.990000, 0.625401)
(67.320000, 1.456829)
(73.220000, 0.588781)
(73.220000, 0.597671)
(76.180000, 0.624331)
(79.440000, 0.625381)
(74.220000, 0.625301)
(69.480000, 0.258239)
(73.970000, 0.624831)
(70.670000, 0.511249)
(75.950000, 0.625341)
(77.600000, 0.624641)
(72.360000, 0.897669)
(75.830000, 0.625351)
(65.900000, 1.880179)
(71.160000, 0.187009)
(70.390000, 0.659769)
(71.550000, 0.567369)
(66.020000, 1.611969)
(77.320000, 0.625371)
(75.140000, 0.306681)
(74.250000, 0.453221)
(68.880000, 0.683319)
(79.050000, 0.624851)
(68.650000, 1.358589)
m = 6
(198.040000, 0.547934)
(197.160000, 0.805893)
(203.880000, 0.624369)
(202.530000, 0.580244)
(210.040000, 0.625322)
(176.270000, 2.034296)
(206.100000, 0.173407)
(212.660000, 0.625134)
(207.120000, 0.859394)
(208.570000, 0.623682)
(208.240000, 0.207588)
(215.780000, 0.623776)
(209.270000, 0.624209)
(202.030000, 1.308955)
(208.270000, 0.624114)
(204.370000, 0.718930)
(206.940000, 1.140567)
(216.760000, 0.625385)
(205.680000, 0.948873)
(216.100000, 0.625378)
(208.740000, 0.625181)
(213.460000, 0.557333)
(205.340000, 0.625199)
(217.020000, 0.625379)
(201.840000, 0.087012)
(206.860000, 1.087886)
(211.490000, 0.621386)
(218.640000, 0.625277)
(213.090000, 0.483058)
(212.750000, 0.189654)
m = 7
(244.570000, 0.595562)
(243.850000, 0.928504)
(245.700000, 1.556532)
(248.130000, 0.625365)
(245.020000, 0.598571)
(244.650000, 0.625154)
(248.110000, 0.625342)
(246.660000, 0.623914)
(249.160000, 0.388297)
(249.550000, 0.744594)
